Level	Date and Time	Source	Event ID	Task Category
Error	4/30/2022 10:29:41 AM	Application Error	1000	(100)	"Faulting application name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Faulting module name: Annots.api, version: 21.11.20039.0, time stamp: 0x61c60d00
Exception code: 0xc000041d
Fault offset: 0x001cae12
Faulting process id: 0xc4
Faulting application start time: 0x01d85c39b6ad2d28
Faulting application path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Faulting module path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\Annots.api
Report Id: 6341cce9-c82d-11ec-82b6-000c297fa143
Faulting package full name: 
Faulting package-relative application ID: "
Error	4/30/2022 10:29:26 AM	Application Error	1000	(100)	"Faulting application name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Faulting module name: Annots.api, version: 21.11.20039.0, time stamp: 0x61c60d00
Exception code: 0xc0000005
Fault offset: 0x001cae12
Faulting process id: 0xc4
Faulting application start time: 0x01d85c39b6ad2d28
Faulting application path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Faulting module path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\plug_ins\Annots.api
Report Id: 5a49d451-c82d-11ec-82b6-000c297fa143
Faulting package full name: 
Faulting package-relative application ID: "
Error	4/28/2022 11:49:26 PM	Application Error	1000	(100)	"Faulting application name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Faulting module name: KERNELBASE.dll, version: 6.3.9600.19724, time stamp: 0x5ec50c3e
Exception code: 0xc06d007e
Fault offset: 0x000156e8
Faulting process id: 0x8e4
Faulting application start time: 0x01d85b173a619011
Faulting application path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Faulting module path: C:\Windows\SYSTEM32\KERNELBASE.dll
Report Id: c76d7bd5-c70a-11ec-82b6-000c297fa143
Faulting package full name: 
Faulting package-relative application ID: "
Error	4/28/2022 11:35:33 PM	Application Error	1000	(100)	"Faulting application name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Faulting module name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Exception code: 0xc0000409
Fault offset: 0x0016541d
Faulting process id: 0xaa8
Faulting application start time: 0x01d85b1575132d08
Faulting application path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Faulting module path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Report Id: d6e4e5ae-c708-11ec-82b6-000c297fa143
Faulting package full name: 
Faulting package-relative application ID: "
Error	4/28/2022 9:33:15 PM	Application Error	1000	(100)	"Faulting application name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Faulting module name: KERNELBASE.dll, version: 6.3.9600.19724, time stamp: 0x5ec50c3e
Exception code: 0xc06d007e
Fault offset: 0x000156e8
Faulting process id: 0xb8c
Faulting application start time: 0x01d85b043400dd7c
Faulting application path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Faulting module path: C:\Windows\SYSTEM32\KERNELBASE.dll
Report Id: c13a3c2e-c6f7-11ec-82b6-000c297fa143
Faulting package full name: 
Faulting package-relative application ID: "
Error	4/28/2022 5:26:31 PM	Application Error	1000	(100)	"Faulting application name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Faulting module name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Exception code: 0xc0000409
Fault offset: 0x0016541d
Faulting process id: 0x74c
Faulting application start time: 0x01d85ae1d662469a
Faulting application path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Faulting module path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Report Id: 49c68275-c6d5-11ec-82b6-000c297fa143
Faulting package full name: 
Faulting package-relative application ID: "
Error	4/28/2022 4:44:34 PM	Application Error	1000	(100)	"Faulting application name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Faulting module name: KERNELBASE.dll, version: 6.3.9600.19724, time stamp: 0x5ec50c3e
Exception code: 0xc06d007e
Fault offset: 0x000156e8
Faulting process id: 0xd48
Faulting application start time: 0x01d85adc00d1bfc5
Faulting application path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Faulting module path: C:\Windows\SYSTEM32\KERNELBASE.dll
Report Id: 6d11e87c-c6cf-11ec-82b6-000c297fa143
Faulting package full name: 
Faulting package-relative application ID: "
Error	4/28/2022 3:41:24 PM	Application Error	1000	(100)	"Faulting application name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Faulting module name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Exception code: 0xc0000409
Fault offset: 0x0016541d
Faulting process id: 0x980
Faulting application start time: 0x01d85ad31b38a960
Faulting application path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Faulting module path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Report Id: 9a0e7715-c6c6-11ec-82b6-000c297fa143
Faulting package full name: 
Faulting package-relative application ID: "
Error	4/28/2022 3:16:16 PM	Application Error	1000	(100)	"Faulting application name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Faulting module name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Exception code: 0xc0000409
Fault offset: 0x0016541d
Faulting process id: 0xc74
Faulting application start time: 0x01d85acf8c42075e
Faulting application path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Faulting module path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Report Id: 173fa3bb-c6c3-11ec-82b6-000c297fa143
Faulting package full name: 
Faulting package-relative application ID: "
Error	4/28/2022 12:45:24 PM	Application Error	1000	(100)	"Faulting application name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Faulting module name: KERNELBASE.dll, version: 6.3.9600.19724, time stamp: 0x5ec50c3e
Exception code: 0xc06d007e
Fault offset: 0x000156e8
Faulting process id: 0x940
Faulting application start time: 0x01d85abaac47812b
Faulting application path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Faulting module path: C:\Windows\SYSTEM32\KERNELBASE.dll
Report Id: 03ca14c3-c6ae-11ec-82b6-000c297fa143
Faulting package full name: 
Faulting package-relative application ID: "
Error	4/28/2022 12:09:55 PM	Application Error	1000	(100)	"Faulting application name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Faulting module name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Exception code: 0xc0000409
Fault offset: 0x0016541d
Faulting process id: 0xea0
Faulting application start time: 0x01d85ab58e57613a
Faulting application path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Faulting module path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Report Id: 0f09deca-c6a9-11ec-82b6-000c297fa143
Faulting package full name: 
Faulting package-relative application ID: "
Error	4/28/2022 11:03:07 AM	Application Error	1000	(100)	"Faulting application name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Faulting module name: AcroRd32.exe, version: 21.11.20039.0, time stamp: 0x61c60de6
Exception code: 0xc0000409
Fault offset: 0x0016541d
Faulting process id: 0xb4c
Faulting application start time: 0x01d85aac3334f7f8
Faulting application path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Faulting module path: C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
Report Id: ba284ad7-c69f-11ec-82b6-000c297fa143
Faulting package full name: 
Faulting package-relative application ID: "
