Level	Date and Time	Source	Event ID	Task Category
Error	1/27/2022 4:46:45 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b216da
Faulting process id: 0x794
Faulting application start time: 0x01d8135a6522ca3f
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: a7750bda-7f4d-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/27/2022 4:46:34 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b216da
Faulting process id: 0x570
Faulting application start time: 0x01d8135a42e68586
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: a175a160-7f4d-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/27/2022 4:45:37 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b216da
Faulting process id: 0xa04
Faulting application start time: 0x01d8135a39c60519
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 7f395c3b-7f4d-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/27/2022 4:45:22 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b216da
Faulting process id: 0x130
Faulting application start time: 0x01d8135a293bb3e1
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 7618db9e-7f4d-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/27/2022 4:44:54 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b21b93
Faulting process id: 0x9f8
Faulting application start time: 0x01d8135a1628e3a1
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 658c2860-7f4d-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/27/2022 4:44:22 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b216da
Faulting process id: 0x970
Faulting application start time: 0x01d8135a0d845d47
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 527bba60-7f4d-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/27/2022 4:44:07 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b216da
Faulting process id: 0x6f8
Faulting application start time: 0x01d81359f8f1b245
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 49d99654-7f4d-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/27/2022 4:43:33 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b216da
Faulting process id: 0xba8
Faulting application start time: 0x01d81359f161bce3
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 353d61fb-7f4d-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/27/2022 4:43:20 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b216da
Faulting process id: 0x9f4
Faulting application start time: 0x01d81359e136ca3e
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 2db23100-7f4d-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/27/2022 4:42:53 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b216da
Faulting process id: 0xa58
Faulting application start time: 0x01d81359d7067d3b
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 1d89a0b8-7f4d-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/27/2022 4:42:36 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b216da
Faulting process id: 0x5fc
Faulting application start time: 0x01d81359d26329ee
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 1359545c-7f4d-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/27/2022 4:42:28 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b216da
Faulting process id: 0x2d0
Faulting application start time: 0x01d81359cac9ab6f
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 0ebac559-7f4d-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/27/2022 4:42:16 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b216da
Faulting process id: 0x904
Faulting application start time: 0x01d81359ae7034fd
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 071c81c7-7f4d-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/27/2022 4:41:28 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x01b216da
Faulting process id: 0x9d0
Faulting application start time: 0x01d81359a6e2a335
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: eac0a8cc-7f4c-11ec-82b3-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
