Level	Date and Time	Source	Event ID	Task Category
Error	1/24/2022 1:43:41 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x0295ef31
Faulting process id: 0x804
Faulting application start time: 0x01d810e54cf7bb27
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 955edc5c-7cd8-11ec-82b2-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/24/2022 1:43:20 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x0295e928
Faulting process id: 0x824
Faulting application start time: 0x01d810e54701d9e8
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 894a91e1-7cd8-11ec-82b2-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/24/2022 1:43:10 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x0295e928
Faulting process id: 0xbf4
Faulting application start time: 0x01d810e53e0057d6
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 8357130e-7cd8-11ec-82b2-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/24/2022 1:42:55 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x0295e928
Faulting process id: 0x11c
Faulting application start time: 0x01d810e5395d04b0
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 7a50ccca-7cd8-11ec-82b2-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/24/2022 1:42:48 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x0295ef31
Faulting process id: 0xb50
Faulting application start time: 0x01d810e534b28a55
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 75ad790d-7cd8-11ec-82b2-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/24/2022 1:42:40 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x02a9b5b9
Faulting process id: 0xb88
Faulting application start time: 0x01d810e52fdac3f9
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 7102fed9-7cd8-11ec-82b2-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/24/2022 1:42:32 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x0295e928
Faulting process id: 0x580
Faulting application start time: 0x01d810e52b2b8469
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 6c2b381b-7cd8-11ec-82b2-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/24/2022 1:41:26 PM	Application Error	1000	(100)	"Faulting application name: VMwareHostOpen.exe, version: 11.3.5.31214, time stamp: 0x612df688
Faulting module name: KERNELBASE.dll, version: 6.3.9600.19724, time stamp: 0x5ec5262a
Exception code: 0x80000003
Fault offset: 0x00000000000ddca2
Faulting process id: 0xa2c
Faulting application start time: 0x01d810e507899edd
Faulting application path: C:\Program Files\VMware\VMware Tools\VMwareHostOpen.exe
Faulting module path: C:\Windows\system32\KERNELBASE.dll
Report Id: 4552c732-7cd8-11ec-82b2-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/24/2022 1:40:54 PM	Application Error	1000	(100)	"Faulting application name: VMwareHostOpen.exe, version: 11.3.5.31214, time stamp: 0x612df688
Faulting module name: KERNELBASE.dll, version: 6.3.9600.19724, time stamp: 0x5ec5262a
Exception code: 0x80000003
Fault offset: 0x00000000000ddca2
Faulting process id: 0x898
Faulting application start time: 0x01d810e4f3f14a8e
Faulting application path: C:\Program Files\VMware\VMware Tools\VMwareHostOpen.exe
Faulting module path: C:\Windows\system32\KERNELBASE.dll
Report Id: 32340a5d-7cd8-11ec-82b2-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/24/2022 1:40:51 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x0295e928
Faulting process id: 0xb50
Faulting application start time: 0x01d810e4e7afb3cc
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 2febea86-7cd8-11ec-82b2-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/24/2022 1:40:18 PM	Application Error	1000	(100)	"Faulting application name: VMwareHostOpen.exe, version: 11.3.5.31214, time stamp: 0x612df688
Faulting module name: KERNELBASE.dll, version: 6.3.9600.19724, time stamp: 0x5ec5262a
Exception code: 0x80000003
Fault offset: 0x00000000000ddca2
Faulting process id: 0x510
Faulting application start time: 0x01d810e4def0f36f
Faulting application path: C:\Program Files\VMware\VMware Tools\VMwareHostOpen.exe
Faulting module path: C:\Windows\system32\KERNELBASE.dll
Report Id: 1ca96b02-7cd8-11ec-82b2-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
Error	1/24/2022 1:40:15 PM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Faulting module name: FoxitPDFReader.exe, version: 11.1.0.52543, time stamp: 0x6151f24e
Exception code: 0xc0000005
Fault offset: 0x0295e928
Faulting process id: 0x994
Faulting application start time: 0x01d810e4db18480f
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 1aa8d173-7cd8-11ec-82b2-000c29570a3e
Faulting package full name: 
Faulting package-relative application ID: "
