Level	Date and Time	Source	Event ID	Task Category
Error	3/1/2022 9:39:04 AM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Faulting module name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Exception code: 0xc0000005
Fault offset: 0x02963028
Faulting process id: 0x134
Faulting application start time: 0x01d82d0d1d69f293
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 6016d93a-9900-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 9:36:59 AM	Application Error	1000	(100)	"Faulting application name: VMwareHostOpen.exe, version: 11.2.6.28747, time stamp: 0x6079cb2f
Faulting module name: KERNELBASE.dll, version: 6.3.9600.19724, time stamp: 0x5ec5262a
Exception code: 0x80000003
Fault offset: 0x00000000000ddca2
Faulting process id: 0x750
Faulting application start time: 0x01d82d0cd7975887
Faulting application path: C:\Program Files\VMware\VMware Tools\VMwareHostOpen.exe
Faulting module path: C:\Windows\system32\KERNELBASE.dll
Report Id: 15890908-9900-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 9:34:34 AM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Faulting module name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Exception code: 0xc0000005
Fault offset: 0x02963028
Faulting process id: 0x858
Faulting application start time: 0x01d82d0c7a1a78db
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: bf6c7945-98ff-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 9:29:37 AM	Application Error	1000	(100)	"Faulting application name: VMwareHostOpen.exe, version: 11.2.6.28747, time stamp: 0x6079cb2f
Faulting module name: KERNELBASE.dll, version: 6.3.9600.19724, time stamp: 0x5ec5262a
Exception code: 0x80000003
Fault offset: 0x00000000000ddca2
Faulting process id: 0x764
Faulting application start time: 0x01d82d0bd0aa008d
Faulting application path: C:\Program Files\VMware\VMware Tools\VMwareHostOpen.exe
Faulting module path: C:\Windows\system32\KERNELBASE.dll
Report Id: 0e77ed8b-98ff-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 9:16:11 AM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Faulting module name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Exception code: 0xc0000005
Fault offset: 0x029635e1
Faulting process id: 0x9ac
Faulting application start time: 0x01d82d09ed049e0b
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 2e20f380-98fd-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 9:08:11 AM	Application Error	1000	(100)	"Faulting application name: VMwareHostOpen.exe, version: 11.2.6.28747, time stamp: 0x6079cb2f
Faulting module name: KERNELBASE.dll, version: 6.3.9600.19724, time stamp: 0x5ec5262a
Exception code: 0x80000003
Fault offset: 0x00000000000ddca2
Faulting process id: 0x6ec
Faulting application start time: 0x01d82d08d207bc67
Faulting application path: C:\Program Files\VMware\VMware Tools\VMwareHostOpen.exe
Faulting module path: C:\Windows\system32\KERNELBASE.dll
Report Id: 0fdcd038-98fc-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 9:05:40 AM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Faulting module name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Exception code: 0xc0000005
Fault offset: 0x02963028
Faulting process id: 0x4ac
Faulting application start time: 0x01d82d086bf94f21
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: b5b5700f-98fb-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 9:02:29 AM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Faulting module name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Exception code: 0xc0000005
Fault offset: 0x02963028
Faulting process id: 0x254
Faulting application start time: 0x01d82d07fbbf4cc6
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 43c97f3d-98fb-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 8:58:59 AM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Faulting module name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Exception code: 0xc0000005
Fault offset: 0x029635e1
Faulting process id: 0x5a8
Faulting application start time: 0x01d82d078460b2bd
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: c6dde268-98fa-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 8:49:23 AM	Application Error	1000	(100)	"Faulting application name: VMwareHostOpen.exe, version: 11.2.6.28747, time stamp: 0x6079cb2f
Faulting module name: KERNELBASE.dll, version: 6.3.9600.19724, time stamp: 0x5ec5262a
Exception code: 0x80000003
Fault offset: 0x00000000000ddca2
Faulting process id: 0x5ac
Faulting application start time: 0x01d82d06319092b4
Faulting application path: C:\Program Files\VMware\VMware Tools\VMwareHostOpen.exe
Faulting module path: C:\Windows\system32\KERNELBASE.dll
Report Id: 6f502fd5-98f9-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 8:48:08 AM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Faulting module name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Exception code: 0xc0000005
Fault offset: 0x02963028
Faulting process id: 0x6dc
Faulting application start time: 0x01d82d05f93a4815
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 42f8d020-98f9-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 8:45:25 AM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Faulting module name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Exception code: 0xc0000005
Fault offset: 0x02963028
Faulting process id: 0x8fc
Faulting application start time: 0x01d82d0594832f79
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: e17f691e-98f8-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 8:44:57 AM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Faulting module name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Exception code: 0xc0000005
Fault offset: 0x02aa00cf
Faulting process id: 0x564
Faulting application start time: 0x01d82d058f4e6614
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: d0d13f98-98f8-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 8:44:52 AM	Application Error	1000	(100)	"Faulting application name: VMwareHostOpen.exe, version: 11.2.6.28747, time stamp: 0x6079cb2f
Faulting module name: KERNELBASE.dll, version: 6.3.9600.19724, time stamp: 0x5ec5262a
Exception code: 0x80000003
Fault offset: 0x00000000000ddca2
Faulting process id: 0xac8
Faulting application start time: 0x01d82d0590085e92
Faulting application path: C:\Program Files\VMware\VMware Tools\VMwareHostOpen.exe
Faulting module path: C:\Windows\system32\KERNELBASE.dll
Report Id: cdfa0eca-98f8-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 8:36:30 AM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Faulting module name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Exception code: 0xc0000005
Fault offset: 0x02963028
Faulting process id: 0x370
Faulting application start time: 0x01d82d044d821624
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: a2a48dca-98f7-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
Error	3/1/2022 8:32:48 AM	Application Error	1000	(100)	"Faulting application name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Faulting module name: FoxitPDFReader.exe, version: 11.2.1.53537, time stamp: 0x61ea7adc
Exception code: 0xc0000005
Fault offset: 0x029635e1
Faulting process id: 0xa3c
Faulting application start time: 0x01d82d03deadc3d1
Faulting application path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Faulting module path: C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\FoxitPDFReader.exe
Report Id: 1e66d870-98f7-11ec-82aa-000c29df038e
Faulting package full name: 
Faulting package-relative application ID: "
